tmdbId,title,release_date,runtime,genres,popularity,vote_average,vote_count,poster_path,backdrop_path,original_language,original_title,adult,video,tagline,budget,revenue,homepage,imdb_id,production_companies,spoken_languages,status
278.0,The Shawshank Redemption,1994-09-23,142,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",87.089,8.7,23133,/hBcY0fE9pfXzvVaY4GKarweriG2.jpg,/wPU78OPN4BYEgWYdXyg0phMee64.jpg,en,The Shawshank Redemption,False,False,Fear can hold you prisoner. Hope can set you free.,25000000,28341469,,tt0111161,"[{'id': 97, 'logo_path': '/7znWcbDd4PcJzJUlJxYqAlPPykp.png', 'name': 'Castle Rock Entertainment', 'origin_country': 'US'}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released
238.0,The Godfather,1972-03-14,175,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",105.949,8.714,17341,/3bhkrj58Vtu7enYsRolD1fZdja1.jpg,/tmU7GeKVybMWFButWEGl2M4GeiP.jpg,en,The Godfather,False,False,An offer you can't refuse.,6000000,245066411,http://www.thegodfather.com/,tt0068646,"[{'id': 4, 'logo_path': '/gz66EfNoYPqHTYI4q9UEN4CbHRc.png', 'name': 'Paramount', 'origin_country': 'US'}, {'id': 10211, 'logo_path': None, 'name': 'Alfran Productions', 'origin_country': 'US'}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Italian', 'iso_639_1': 'it', 'name': 'Italiano'}, {'english_name': 'Latin', 'iso_639_1': 'la', 'name': 'Latin'}]",Released
629.0,The Usual Suspects,1995-07-19,106,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",27.604,8.197,9089,/bUPmtQzrRhzqYySeiMpv7GurAfm.jpg,/7S7PE3vK9Eh5uzCYBDGk5qTJeYW.jpg,en,The Usual Suspects,False,False,Five Criminals. One Line Up. No Coincidence.,6000000,23341568,http://www.mgm.com/#/our-titles/2083/The-Usual-Suspects,tt0114814,"[{'id': 361, 'logo_path': None, 'name': 'Blue Parrot Productions', 'origin_country': ''}, {'id': 9168, 'logo_path': '/hQNXrYIuyLRxMSBuGHk0GX7CCBS.png', 'name': 'Bad Hat Harry Productions', 'origin_country': 'US'}]","[{'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}, {'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}, {'english_name': 'Hungarian', 'iso_639_1': 'hu', 'name': 'Magyar'}]",Released
452522.0,Twin Peaks,1990-04-08,116,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 10770, 'name': 'TV Movie'}]",9.65,8.409,534,/2Fb8neVxZtCIXwbJ9DOk6Ra29mV.jpg,/xqjGKLwLZeujg4fiBTOqhZkoL31.jpg,en,Twin Peaks,False,True,Who Killed Laura Palmer?,3800000,0,,tt0278784,"[{'id': 272, 'logo_path': '/5dWI6BucpMxcUdwhp2YfyGtqUPB.png', 'name': 'Spelling Entertainment', 'origin_country': 'US'}, {'id': 13654, 'logo_path': None, 'name': 'Worldvision', 'origin_country': ''}, {'id': 15621, 'logo_path': None, 'name': 'Lynch/Frost Productions', 'origin_country': ''}, {'id': 80579, 'logo_path': None, 'name': 'Lynch Entertainment', 'origin_country': ''}]",[],Released
240.0,The Godfather Part II,1974-12-20,202,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",85.343,8.601,10500,/hek3koDUyRQk7FIhPXsa6mT2Zc3.jpg,/kGzFbGhp99zva6oZODW5atUtnqi.jpg,en,The Godfather Part II,False,False,"I don't feel I have to wipe everybody out, Tom. Just my enemies.",13000000,102600000,,tt0071562,"[{'id': 4, 'logo_path': '/gz66EfNoYPqHTYI4q9UEN4CbHRc.png', 'name': 'Paramount', 'origin_country': 'US'}, {'id': 536, 'logo_path': None, 'name': 'The Coppola Company', 'origin_country': 'US'}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Italian', 'iso_639_1': 'it', 'name': 'Italiano'}, {'english_name': 'Latin', 'iso_639_1': 'la', 'name': 'Latin'}, {'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}]",Released
452830.0,Black Mirror,2011-06-20,4,"[{'id': 18, 'name': 'Drama'}]",5.912,7.6,49,/fYi4BQhoj2ay3oJwT2x8kMNHpds.jpg,,en,Black Mirror,False,False,,0,0,http://www.dougaitkenblackmirror.com/,tt2492564,[],"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released
346.0,Seven Samurai,1954-04-26,207,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}]",31.813,8.451,2921,/iAq0sq42vKTLneVGqHn1D4GzgrM.jpg,/qvZ91FwMq6O47VViAr8vZNQz3WI.jpg,ja,七人の侍,False,False,The Mighty Warriors Who Became the Seven National Heroes of a Small Town,2000000,346300,,tt0047478,"[{'id': 882, 'logo_path': '/iDw9Xxok1d9WAM2zFicI8p3khTH.png', 'name': 'Toho', 'origin_country': 'JP'}]","[{'english_name': 'Japanese', 'iso_639_1': 'ja', 'name': '日本語'}]",Released
424.0,Schindler's List,1993-12-15,195,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]",55.459,8.566,13680,/sF1U4EUQS8YHUYjNl3pMGNIQyr0.jpg,/zb6fM1CX41D9rF9hdgclu0peUmy.jpg,en,Schindler's List,False,False,"Whoever saves one life, saves the world entire.",22000000,321365567,http://www.schindlerslist.com/,tt0108052,"[{'id': 33, 'logo_path': '/8lvHyhjr8oUKOOy2dKXoALWKdp0.png', 'name': 'Universal Pictures', 'origin_country': 'US'}, {'id': 56, 'logo_path': '/cEaxANEisCqeEoRvODv2dO1I0iI.png', 'name': 'Amblin Entertainment', 'origin_country': 'US'}]","[{'english_name': 'German', 'iso_639_1': 'de', 'name': 'Deutsch'}, {'english_name': 'Polish', 'iso_639_1': 'pl', 'name': 'Polski'}, {'english_name': 'Hebrew', 'iso_639_1': 'he', 'name': 'עִבְרִית'}, {'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released
389.0,12 Angry Men,1957-04-10,97,"[{'id': 18, 'name': 'Drama'}]",44.16,8.534,6973,/ppd84D2i9W8jXmsyInGyihiSyqz.jpg,/qqHQsStV6exghCM7zbObuYBiYxw.jpg,en,12 Angry Men,False,False,Life is in their hands. Death is on their minds.,350000,1000000,,tt0050083,"[{'id': 60, 'logo_path': '/1SEj4nyG3JPBSKBbFhtdcHRaIF9.png', 'name': 'United Artists', 'origin_country': 'US'}, {'id': 10212, 'logo_path': None, 'name': 'Orion-Nova Productions', 'origin_country': ''}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released
567.0,Rear Window,1954-08-01,112,"[{'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]",19.595,8.358,5525,/qitnZcLP7C9DLRuPpmvZ7GiEjJN.jpg,/zGs5tZOlvc9cprdcU6kDOVNpujf.jpg,en,Rear Window,False,False,It only takes one witness to spoil the perfect crime.,1000000,37034514,,tt0047396,"[{'id': 4, 'logo_path': '/gz66EfNoYPqHTYI4q9UEN4CbHRc.png', 'name': 'Paramount', 'origin_country': 'US'}, {'id': 10715, 'logo_path': None, 'name': 'Alfred J. Hitchcock Productions', 'origin_country': 'US'}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released
550.0,Fight Club,1999-10-15,139,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 35, 'name': 'Comedy'}]",98.128,8.4,25662,/pB8BM7pdSp6B6Ih7QZ4DrQ3PmJK.jpg,/hZkgoQYus5vegHoetLkCJzb17zJ.jpg,en,Fight Club,False,False,Mischief. Mayhem. Soap.,63000000,100853753,http://www.foxmovies.com/movies/fight-club,tt0137523,"[{'id': 25, 'logo_path': '/qZCc1lty5FzX30aOCVRBLzaVmcp.png', 'name': '20th Century Fox', 'origin_country': 'US'}, {'id': 508, 'logo_path': '/7cxRWzi4LsVm4Utfpr1hfARNurT.png', 'name': 'Regency Enterprises', 'origin_country': 'US'}, {'id': 711, 'logo_path': '/tEiIH5QesdheJmDAqQwvtN60727.png', 'name': 'Fox 2000 Pictures', 'origin_country': 'US'}, {'id': 4700, 'logo_path': '/A32wmjrs9Psf4zw0uaixF0GXfxq.png', 'name': 'The Linson Company', 'origin_country': 'US'}, {'id': 20555, 'logo_path': '/hD8yEGUBlHOcfHYbujp71vD8gZp.png', 'name': 'Taurus Film', 'origin_country': 'DE'}, {'id': 54051, 'logo_path': None, 'name': 'Atman Entertainment', 'origin_country': ''}, {'id': 54052, 'logo_path': None, 'name': 'Knickerbocker Films', 'origin_country': 'US'}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released
510.0,One Flew Over the Cuckoo's Nest,1975-11-19,133,"[{'id': 18, 'name': 'Drama'}]",33.825,8.424,9134,/3jcbDmRFiQ83drXNOvRDeKHxS0C.jpg,/qUq3QTr2KLvGIcN0GaaaYx9bbyH.jpg,en,One Flew Over the Cuckoo's Nest,False,False,"If he's crazy, what does that make you?",3000000,108981275,,tt0073486,"[{'id': 286, 'logo_path': None, 'name': 'Fantasy Films', 'origin_country': ''}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released
